公交 公交站点一览表|||||||
"线路
名称"|起点名称|讫点名称|起点时间||讫点时间||途经站点
|||首班|末班|首班|末班|
1|淮西客运站|徐州站|5:05|0:00|5:33|0:25|市中级法院,公交修造厂,段南新村,段庄,矿务局华美商厦,工人医院,市二院,浦发银行,供销大厦,万虹桥电子市场（文化宫）
2|徐州站（环线）|徐州站（环线）|5:50|20:00|||天桥，上海路局徐州办事处，妇幼保健院，师大北门，中医院，中山饭店，市交通银行，中央百大，市一院，北路口，火车西站，坝子街，市三院，烟厂
4|新一佳淮西店|新河矿|6:00|18:50|6:26|19:18|段庄,市六院,徐医附院西院，公交修造厂,淮西客运站,矿山医院,卧牛,马山村,路窝，北望,新河路口
5|文化宫|翡翠城|6:35|18:36|6:00|18:00|青年路口,宣武市场,天桥东,王杰部队，九七医院，铜山路口（路西，单），黄山干休所，金狮小区,民富园路口,郭庄路口,机场路口,汽配城,汽车南站东门,淮海文博园（食品城）,徐州中专,御景湾小区，东南郡
6|文化宫|徐矿城小区|6:10|19:00|6:15|18:30|市一院 （路东，单）,金地商都（路西，单 ）,北路口 ,后勤学院, 九龙湖公园 ,空军学院北,诚坤钢材市场, 金色阳光小区,徐州植物园,豪绅嘉苑, 三新庄 ,工业技术学院东门,江山,李屯
7|徐州中轻海鸥|彭城饭店（银座）|6:00|19:00|6:30|19:30|氯碱集团,北站货场,红星美凯龙,淮东家具城,八里屯,钟山机动车检测中心，王场新村，王场新村北门,电力医院,堤北农贸市场,堤北,爱牙医院（市三院）,民主路小学,兴隆国际大酒店,青年路小学（单）
8|夹河高中（大彭镇）|宣武市场|6:15|18:40|6:20|18:40|"
大彭医院，霸王山水泥厂,十八屯,徐州诚远眼耳鼻喉医院,雨润新城,火花农贸市场,生物工程学院北门,奎山散热器公司,徐医附院华丰分院,出入境办理中心,小康人家,段南新村,市六院,段庄,矿务局华美商厦,矿务局南,余窑,电视塔,云龙公园西门,云龙公园南门,师大北门,妇幼保健院,袁桥（路西，单）,宣武市场（丰储街，路西，单），恩华大厦（路西，单），宣武市场（建国东路）
"
9|王庄矿|滨湖公园东门|7:15|16:30|6:30|17:30|吴屯,新台子,李沃, 李沃医院, 铝厂,金马路路口, 荆南小区 ,华厦集团,马场村,鼓楼区政府,后勤学院, 北路口, 市一院,市交通银行,中山饭店,中医院,云龙山
10|徐州东站|文化宫|6:10|23:10|5:45|21:20|徐州东站北,金色年华，科技大厦,君廷湖畔,宗申产业园,医学院,东方人民医院,东甸子,城建家园,小坝山,九七医院,王杰部队,天桥东,徐州站（蓝天），百惠家美时（路北，单）
